epoch,loss,forward_total_time,backward_total_time,forward_mean_time,backward_mean_time,grad_norm,theta_step
1,8.38026765652863,5.491359999999999,1.0352715000000001,0.10982719999999999,0.020705430000000004,48.44594477468073,0.00968918895493615
2,7.889516176406886,6.295202699999994,1.1924359999999963,0.12590405399999988,0.023848719999999924,50.47848770543617,0.010095697541087247
3,7.387023994224617,6.248516999999998,1.2628817000000065,0.12497033999999996,0.02525763400000013,49.02941044871901,0.009805882089743789
4,6.9147253143980505,5.808667200000009,1.211499100000001,0.11617334400000018,0.02422998200000002,47.30046992407727,0.009460093984815454
5,6.475188690855809,5.722276600000022,1.06663110000002,0.11444553200000045,0.021332622000000398,45.6288211092234,0.009125764221844664
6,6.065789157019762,5.854822600000048,1.1746184,0.11709645200000096,0.023492368,44.191088324072275,0.008838217664814444
7,5.682099434024371,6.002606899999975,1.184962299999988,0.1200521379999995,0.02369924599999976,42.64981572224439,0.008529963144448875
8,5.324404941422697,5.811962599999987,1.0949049999999758,0.11623925199999974,0.021898099999999518,41.2001732068519,0.00824003464137038
9,4.985978147015971,5.400521499999975,1.0415264999999962,0.1080104299999995,0.020830529999999924,41.38855535321249,0.008277711070642511
10,4.6456969314570316,5.349643800000067,1.0321822999999313,0.10699287600000133,0.020643645999998624,40.7526846156997,0.008150536923139936
11,4.313435985318634,5.43575450000003,0.9925334999999933,0.1087150900000006,0.019850669999999866,40.755776681197084,0.00815115533623937
12,3.986874137689685,5.522529799999944,1.0214168000000257,0.11045059599999889,0.020428336000000512,39.2469836632062,0.0078493967326412
13,3.685424409120424,5.9524295999999595,1.217235200000033,0.11904859199999919,0.02434470400000066,37.56188520800375,0.0075123770416007565
14,3.4093111771192683,6.175394599999976,1.226957800000065,0.12350789199999951,0.024539156000001297,35.943391097729055,0.007188678219545769
15,3.1567508299329536,7.005374700000047,1.4623667000000466,0.14010749400000094,0.029247334000000933,34.31830519197844,0.006863661038395729
16,2.926428631681928,7.1963250999999815,1.4438588000000294,0.14392650199999962,0.028877176000000587,32.774201136544335,0.006554840227308897
17,2.7167854396078543,7.301642500000014,1.5742238000000839,0.14603285000000027,0.03148447600000168,31.183603537465903,0.00623672070749316
18,2.523356799439692,7.088113799999945,1.496576200000007,0.1417622759999989,0.02993152400000014,30.562470031548468,0.006112494006309711
19,2.3384350471654622,6.417091799999895,1.3669883999999684,0.1283418359999979,0.027339767999999365,30.004855771862502,0.006000971154372532
20,2.1625996958136926,6.3742538000000195,1.2862278999997443,0.1274850760000004,0.025724557999994888,28.645523493424932,0.005729104698684962
21,2.0034775212251232,6.764867400000043,1.3857547000000068,0.13529734800000084,0.027715094000000134,26.93053031724801,0.005386106063449649
22,1.863215317563032,6.926490199999932,1.3778050999999323,0.13852980399999865,0.027556101999998646,25.150765381095606,0.005030153076219158
23,1.741100221378954,6.360696100000041,1.3065215000000876,0.1272139220000008,0.02613043000000175,23.40161309377421,0.004680322618754819
24,1.6354320846852586,6.523837999999898,1.317627700000088,0.13047675999999797,0.02635255400000176,21.796103945887733,0.004359220789177551
25,1.5437557914559235,6.806149399999811,1.4536040000000128,0.13612298799999623,0.029072080000000257,20.27338174409856,0.00405467634881967
26,1.4643810113704065,6.075065399999886,1.201575100000042,0.12150130799999773,0.024031502000000843,18.88737789998969,0.0037774755799979774
27,1.395440291778006,5.997411500000084,1.1280016000000614,0.11994823000000167,0.02256003200000123,17.626061839849562,0.0035252123679699447
28,1.334778065325358,6.0441670000001295,1.2303669999998874,0.12088334000000259,0.024607339999997747,16.689955021747494,0.003337991004349488
29,1.2807382915121384,6.493137999999988,1.261559400000067,0.12986275999999974,0.025231188000001337,15.815077670604001,0.0031630155341208057
30,1.2317861819317775,6.326755099999957,1.2275243000000842,0.12653510199999915,0.024550486000001683,15.093892502239315,0.0030187785004478903
31,1.1872444766667525,5.960197600000072,1.0126324999999952,0.11920395200000143,0.020252649999999903,14.393556957135162,0.002878711391427065
32,1.1471174722599364,5.964409800000084,1.0779056999998602,0.11928819600000168,0.021558113999997203,13.494895682448098,0.002698979136489648
33,1.1118527703430092,5.776967900000102,1.0174910000000068,0.11553935800000203,0.020349820000000136,12.635499370673976,0.002527099874134783
34,1.0808806928071504,5.776802199999793,1.0080644000000802,0.11553604399999585,0.020161288000001606,11.8812205636198,0.0023762441127239396
35,1.0535778823222062,5.719127399999991,1.0030700999998885,0.11438254799999982,0.02006140199999777,11.085184861783116,0.0022170369723566135
36,1.029831863225267,5.925756399999898,1.0211925000001543,0.11851512799999796,0.020423850000003085,10.320467351328746,0.002064093470265734
37,1.0092671845885302,5.929791999999736,1.0487107000002993,0.11859583999999472,0.020974214000005986,9.61334182805782,0.0019226683656115313
38,0.9913971622292479,5.952732499999968,1.0254447000001505,0.11905464999999936,0.02050889400000301,8.983393478051456,0.001796678695610304
39,0.975715982316047,6.139690900000005,1.06449079999976,0.1227938180000001,0.021289815999995198,8.449637582260477,0.001689927516452099
40,0.9617770623863708,6.066389799999854,1.0475903999997627,0.12132779599999707,0.020951807999995253,8.024324170959286,0.001604864834191883
41,0.9492001304320081,6.007061800000031,1.026636200000155,0.12014123600000062,0.0205327240000031,7.633925608202355,0.0015267851216404468
42,0.9378247523763105,6.112066899999945,1.0364099000000238,0.12224133799999891,0.020728198000000475,7.28045462230579,0.0014560909244611712
43,0.9275005603630394,6.023549800000239,0.9938748000000714,0.12047099600000478,0.019877496000001427,6.907791675390068,0.0013815583350780217
44,0.9181323996726038,5.990683200000035,1.02131589999982,0.1198136640000007,0.0204263179999964,6.62108702817139,0.0013242174056342813
45,0.9095514057625798,6.329027199999587,1.0728566999998748,0.12658054399999175,0.021457133999997494,6.357267036604276,0.001271453407320878
46,0.9016405470491347,6.284180800000115,1.0845981000003917,0.1256836160000023,0.021691962000007833,6.092495603586703,0.001218499120717344
47,0.8943476054613447,6.3112053000002675,1.221504500000151,0.12622410600000536,0.02443009000000302,5.870972972640493,0.0011741945945281048
48,0.887564569437543,6.300908899999911,1.2397433000002138,0.1260181779999982,0.024794866000004277,5.679256591513788,0.001135851318302739
49,0.8812008109456525,6.646133199999895,1.3259328999998843,0.1329226639999979,0.026518657999997686,5.525039436395582,0.0011050078872791092
50,0.8751924902126759,6.38568510000016,1.1865185999999994,0.1277137020000032,0.02373037199999999,5.353219620434219,0.0010706439240868483
